domain,company_name,person_company_name,company_key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,company_sources,first_seen,person_name,title,linkedin_url,person_key_label,location,status,person_sources
blackmores.com.au,Blackmores Group,Blackmores Group,accept,Australia,Warriewood,626,649521024,,1932,,"Since 1932, Blackmores Group has been championing innovative natural health solutions to bring wellness to people everywhere, every day.  Founded by visionary naturopath, Maurice Blackmore, our vision is to connect every person on earth to the healing power of nature by combining our knowledge of na","Australian wellness company, 626 staff, $649M revenue; no evidence of in-house tech contracting authority.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Kris Ellis,Chief Information Officer,https://linkedin.com/in/kris-ellis-a53a16,accept,"Sydney, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,Blackmores Group,accept,Australia,Warriewood,626,649521024,,1932,,"Since 1932, Blackmores Group has been championing innovative natural health solutions to bring wellness to people everywhere, every day.  Founded by visionary naturopath, Maurice Blackmore, our vision is to connect every person on earth to the healing power of nature by combining our knowledge of na","Australian wellness company, 626 staff, $649M revenue; no evidence of in-house tech contracting authority.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Peter Maye,Head of IT Operations,https://linkedin.com/in/peter-maye-6821056,accept,"Sydney, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,Blackmores Group,accept,Australia,Warriewood,626,649521024,,1932,,"Since 1932, Blackmores Group has been championing innovative natural health solutions to bring wellness to people everywhere, every day.  Founded by visionary naturopath, Maurice Blackmore, our vision is to connect every person on earth to the healing power of nature by combining our knowledge of na","Australian wellness company, 626 staff, $649M revenue; no evidence of in-house tech contracting authority.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Scott Grant,Engineering Director,https://linkedin.com/in/scott-grant-8288a7212,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
boral.com,Boral,,accept,Australia,North Ryde,1586,3460600064,,1946,,"Boral is the largest vertically-integrated construction materials company in Australia. Our network includes prized quarry and cement infrastructure, bitumen, construction materials recycling, asphalt, and concrete batching operations.   We employ about 9,000 employees and contractors across our ope","Boral is a large Australian construction materials company with 1586 staff and $3.46B revenue, HQ North Ryde (Sydney).",eval_baseline;eval_reprove-missing,2026-09-04T15:58:48.212352+05:30,,,,,,,
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Aaron Boatwright,Head of Technology Infrastructure,https://linkedin.com/in/aaron-boatwright-8608041bb,accept,"Perth, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Anthony Carnovale,Head of Technology Planning & Performance,https://linkedin.com/in/anthony-carnovale-b045b287,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Chris Napoli,Group Head of Core Retail Technology (General Manager),https://linkedin.com/in/cnapoli,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Ettienne Gous,Head of Engineering - Digital Platforms,https://linkedin.com/in/ettiennegous,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Genevieve Elliott,Chief Information Officer,https://linkedin.com/in/genevieve-elliott,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Marina Cavka,Head of Platform Engineering and Operations,https://linkedin.com/in/marina-cavka-70a278,accept,"Perth, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Paul Bunn,Head of Supply Chain Technology,https://linkedin.com/in/paulbunn,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Richard Crane,Head of Data & Integration Platforms,https://linkedin.com/in/richard-crane-08757a5,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Ricky White,Head of Public and Private Cloud,https://linkedin.com/in/rickywhiteaustralia,accept,"Perth, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Rob Porzig,Head of Oracle Platforms,https://linkedin.com/in/robporzig,accept,"Perth, Australia",verified,eval_proof-mstone-p
bunnings.com.au,Bunnings,Bunnings,accept,Australia,Burnley,8205,18968000000,,1886,,"We are the leading retailer of home improvement and outdoor living products in Australia & New Zealand and a major supplier to project builders, commercial tradespeople and the housing industry.  Our ambition is to provide our customers with the widest range of home improvement products in accordanc","Home improvement retailer, 8205 employees, $18.9B revenue, HQ in Melbourne; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Steven Stockbridge,Head of Network and Communication Services,https://linkedin.com/in/steven-stockbridge-789b31103,accept,"Perth, Australia",verified,eval_proof-mstone-p
carsales.com.au,carsales,,accept,Australia,melbourne,490,1183856000,,1997,,"At carsales, we’re all about making buying and selling a great experience. For over 25 years we’ve been evolving with the new economy to help people choose how they move today and tomorrow.  We started out with the idea of digitising print classifieds back in 1997 when we thought that ‘this internet","carsales, Melbourne-based, meets size and revenue; it's an automotive marketplace, not matching any r4 exclusion.",eval_baseline;eval_reprove-missing,2026-09-04T15:57:10.001806+05:30,,,,,,,
catapult.com,Catapult,,accept,Australia,Melbourne,395,116526000,,2006,,"Catapult helps 5,500+ teams unleash the potential of every athlete by turning performance data into smarter decisions.  Founded in 2006 in Melbourne, Catapult was built by people who saw what elite sport was missing: technology that actually helps, not just numbers on a screen. From GPS tracking and","395 staff, $116.5M revenue, Melbourne sports-tech firm; no contractor engagement info.",eval_combined2,2026-09-04T18:16:36.034427+05:30,,,,,,,
chemistwarehouse.com.au,Chemist Warehouse,Chemist Warehouse,accept,Australia,melbourne,4339,2066190000,,2000,,"Chemist Warehouse is part of Sigma Healthcare. We opened our first store in Melbourne back in 2000. Over the next few years, several more stores opened in Victoria. Our success pushed us to explore other states, in 2004, our first interstate store opened in Cairns, Queensland.  Today, Chemist Wareho","Melbourne pharmacy retailer, 4339 staff, $2.07B revenue; homepage shows retail content only, no tech hiring proof.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Joe Razavi,Head of Information Technology Operations,https://linkedin.com/in/joe-razavi-ab08813,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Alistair Simpson,Head of Technology - Service Management,https://linkedin.com/in/alistair-simpson-4b94123,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Ben Youl,Head of Technology - Commercial & Liquor,https://linkedin.com/in/ben-youl-888763a9,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Brent Whelan,"Head of Technology, AI and Data Engineering",https://linkedin.com/in/brentwhelan,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Dafina Zdravkovski,Head of Enterprise Application Technology,https://linkedin.com/in/dafina-zdravkovski-23b9b9a,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Elzanne van der Westhuizen,Head of Technology - eCommerce Services,https://linkedin.com/in/elzanne-van-der-westhuizen-0ba53933,accept,"Exford, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Ian Westlake,Head Of Technology - Supply Chain Logistics,https://linkedin.com/in/ian-westlake-8788a03,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Joseph Sette,Head of Digital & Technology (QuiteLike),https://linkedin.com/in/jsette,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Karen Sue,"Head of Technology, Workplace Services",https://linkedin.com/in/karen-sue-24b20637,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Nicolas Brunelli,Head of Technology Management,https://linkedin.com/in/nicolas-brunelli-78747422,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Nicole Stearman,Head of Technology - Store Operations,https://linkedin.com/in/nicole-stearman-923a7286,accept,"Brisbane, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Orass Latif,"Director of Enterprise Technology, Digital & Data Transformation",https://linkedin.com/in/orass-latif-b627aa29,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Saurav Sachdev,Head of Technology - Data & AI Platform,https://linkedin.com/in/saurav-sachdev-6990903a,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
colescareers.com.au,Coles Group,Coles Group,accept,Australia,Melbourne,15558,,,,,"Coles is one of Australia’s leading retailers, with an extensive footprint of over 1,800 retail outlets nationally. We employ more than 115,000 team members, engage with more than 8,000 suppliers, and we welcome millions of customers through our store network and digital platforms every week.  We ar","Coles Group is a large Melbourne retailer with 15,558 staff but no stated revenue figure.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Sharon Samson,Head of Technology Corporate,https://linkedin.com/in/sharonsamson,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
commbank.com.au,Commonwealth Bank,,accept,Australia,Sydney,31434,61043998720,,1991,,"Australia’s leading provider of financial services including retail, premium, business and institutional banking, funds management, superannuation, insurance, investment and sharebroking products and services.  We are a business with more than 800,000 shareholders and over 52,000 employees. We offer","CBA is a large Sydney-based bank, not an excluded IT/staffing/consulting firm, meeting size and location criteria.",eval_lean,2026-09-04T18:42:05.844179+05:30,,,,,,,
