domain,name,key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,sources,first_seen
databahn.ai,DataBahn,accept,United States,Dallas,89,,17000000,,Enterprise data management,"Databahn is redefining how enterprises manage the explosion of security and operational data in the AI era. Our AI-powered data pipeline and fabric platform helps organizations securely collect, enrich, orchestrate, and optimize enterprise data—including security, application, observability, and IoT","Data platform startup, Dallas HQ, 89 employees, $40M Series B led by Insight Partners, private VC‑backed.",eval_combined2,2026-09-04T18:32:49.250384+05:30
fsh.org,FSH Technologies,accept,United States,Philadelphia,13,1000000,25000000,2021,Government technology,"Software platform for municipalities, cities, school districts, and state agencies.","Gov-tech software firm, 13 US employees, closed $20M Series A per record; no lead investor named.",eval_jns-carta,2026-09-04T17:50:07.029206+05:30
greyparrot.ai,Greyparrot,accept,United Kingdom,London,50,4200000,60000000,2019,Waste management,"Greyparrot [greyparrot.ai], the leader in AI waste analytics, is applying AI to globally scale recycling and save millions of tonnes of waste from landfills and incinerators. By providing deeper, more intelligent insights about waste stream composition and financial value, Greyparrot is helping the ","London-based waste analytics operating company, 50 employees, $27M Series B raised, venture-backed.",eval_angles-4,2026-09-04T17:32:52.525147+05:30
helcim.com,Helcim,accept,Canada,Calgary,143,49000000,32707169,2006,Small-business payments,"Helcim provides Canadian & American businesses an opportunity to accept credit card payments at affordable & transparent rates. A wide range of online, ecommerce, cloud-based, mobile & retail payment platforms allows Helcim to offer a total payments solution. The lack of cancellation fees, no monthl","Helcim is Calgary payments operating company, 143 employees, raised $53M Series C; private venture‑backed firm.",eval_baseline;eval_combined,2026-09-04T16:08:25.375272+05:30
helloaria.eu,Aria,accept,France,Paris,53,9500000,73450895,2019,Financial services,"Where money moves.  We're transforming payment experiences for software companies by making it easier to move money.   Our view is that when two companies work together, everything has to move fast. By building products like invoice financing and flexible payment terms — and working with some of the","Paris fintech, 53 staff, secured €7M Series A extension; no lead investor named in quote.",eval_judge-x4;eval_lean,2026-09-04T17:10:06.062391+05:30
henry.ai,Henry AI (YC S24),accept,United States,New York City,23,,4925000,2024,Commercial real estate software,"Henry helps commercial real estate professionals turn raw deal data into polished, on-brand decks in minutes. Built for closers, not marketers. Henry automates everything from comp stacks to rent rolls, translating messy spreadsheets into stunning, ready-to-send presentations. Used by top-performing","NYC startup, 23 employees, press release confirms $16.5M Series A led by FirstMark Capital, satisfying funding and investor criteria.",eval_combined,2026-09-04T18:07:11.931921+05:30
hiddenlayer.com,HiddenLayer,accept,United States,Austin,120,45000000,56249922,2022,Cybersecurity software,"HiddenLayer, a Gartner-recognized Cool Vendor for AI Security, is the leading provider of Security for AI. Its AISec Platform unifies supply chain security, runtime defense, posture management, and automated red teaming to protect agentic, generative and predictive AI applications. The platform enab","HiddenLayer is a cybersecurity startup in Austin, US, with 120 employees and a closed $100M Series B round.",eval_judge-x4,2026-09-04T17:12:19.931255+05:30
karoohealth.com,Karoo Health,accept,United States,Albuquerque,30,,4400000,2021,Cardiovascular care,"Karoo Health is transforming cardiology care through a comprehensive, technology-enabled health management model that improves patient outcomes while reducing total cost of care and enhancing revenue opportunities for health plans. Our value-based approach creates a collaborative framework that enha","Operating startup, US, 30 employees, dated Series A with co-lead investors and round size.",eval_lean,2026-09-04T18:57:40.023489+05:30
kord.com,Kord,accept,United Kingdom,London,21,,1350835,2020,Financial services,"The gap between client identity and client money is where most regulated firms encounter fraud and money laundering risk. On top of the increasing regulatory scrutiny imposed on firms, this creates a serious burden that manual and disconnected checks can simply no longer meet.  But by verifying and ","Kord is a UK fintech operating company, 21 employees, raised Series A; private venture-backed startup.",eval_baseline;eval_combined2;eval_jns-carta;eval_judge-x4,2026-09-04T16:08:25.375272+05:30
lemonedge.com,LemonEdge,accept,United Kingdom,London,62,2000000,2500000,2020,Private markets,"LemonEdge is a next-generation private capital platform for financial services, built on advanced cloud-native and API technologies.   Our Path Allocation Engine significantly reduces the time spent on legacy processes such as Equity Pick Up, while supporting full look-through capability across fund","London fund‑accounting software firm, 62 employees, closed $21M Series A; no lead investor named for r11.",eval_reprove-missing,2026-09-04T16:38:11.775544+05:30
meticulous.ai,Meticulous,accept,United Kingdom,London,21,,4125000,2021,Developer tools,"Meticulous auto-generates and auto-maintains visual frontend browser tests, providing a level of coverage that is unattainable with manually written tests.","London devtools startup, 21 staff, closed $15M Series A; no lead investor named in quote.",eval_judge-x4,2026-09-04T17:10:06.062391+05:30
naaia.ai,naaia.ai,accept,France,Paris,18,,6000000,2022,AI governance,"Naaia provides a leading BtoB SaaS platform to manage AI risks & compliance for public and private organisations. Through an end-to-end, multi regulatory & multi framework approach, Naaia ensures the accelerated implementation of trusted AI.","Paris AI SaaS startup, 18 staff, closed €6M Series A led by Ventech, venture-backed.",eval_judge-x4,2026-09-04T17:10:06.062391+05:30
natural.com,Natural,accept,United States,San Francisco,17,,40000000,2025,Financial technology,Fintech building payments infrastructure for AI agents.,"Fintech startup, 17 US employees, $30M Series A led by Forerunner announced on blog.",eval_jns-carta,2026-09-04T17:50:07.029206+05:30
nekohealth.com,Neko Health,accept,Sweden,Stockholm,462,4000000,325130951,2018,Preventive healthcare,"Neko Health is a healthcare technology company co-founded in 2018 by Swedish engineer Hjalmar Nilsonne and Spotify founder Daniel Ek.  ‍ Our vision is to provide healthcare that’s proactive instead of reactive – so that people can live longer, healthier lives. By combining proprietary technology and","Operating startup, Sweden (Continental Europe), large headcount, completed $700M Series C, but no lead investor named.",eval_lean,2026-09-04T18:57:40.023489+05:30
norberthealth.com,Norbert Health,accept,United States,Brooklyn,13,1500000,16100000,2019,Senior care technology,"Norbert is a physical and medical AI module that turns any robot into a health assistant — bringing care delivery to wherever patients are. Currently deployed in the real-world, and built for healthcare environments, Norbert enables robots to naturally interact with patients, measure vitals without ","US health AI startup, 13 employees, Series A $14M led by Cardinal Group; venture-backed, private.",eval_angles-4;eval_combined,2026-09-04T17:30:43.816912+05:30
onoshealth.com,Onos Health,accept,United States,San Francisco,21,,6300000,2024,Health insurance,We’re building a system that unites providers and payers with one goal: delivering the highest quality care while eliminating waste.,"San Francisco health-tech startup, 21 employees, closed a $17M venture-backed Series A led by Costanoa.",eval_combined;eval_lean,2026-09-04T18:09:15.533118+05:30
onyx.security,Onyx Security,accept,United States,New York,72,,40000000,2024,Enterprise cybersecurity,"Onyx Security accelerates enterprise AI adoption, securely. The company’s secure AI control plane offers a single platform to serve security, governance, and infrastructure teams as they oversee how AI agents are used, ensure they are secure and compliant, and measure their effectiveness. Powered by","Cybersecurity startup, NY HQ, 72 employees, $113M Series B led by Bessemer, private, venture‑backed.",eval_combined2,2026-09-04T18:32:49.250384+05:30
poweredbylight.com,Light,accept,United States,Austin,28,,60000000,2023,Energy technology,"Light turns power into a platform. We help leading brands—like solar providers, automakers, and home platforms—offer embedded, branded electricity plans to their customers. Our partners are reshaping how people experience energy, unlocking better customer experiences or the full potential of product","Austin energy startup, 28 employees, $46M Series A led by Matrix, venture-backed, satisfies all core criteria.",eval_baseline,2026-09-04T16:10:54.149088+05:30
provablemarkets.com,Provable Markets,accept,United States,New York,16,2500000,8000000,2021,Capital markets,Provable Markets is a vertically integrated alternative trading system focused on enhancing front to back efficiency in securities financing markets and related post-trade market structure,"NY capital markets firm, 16 employees, press release confirms Series B led by Charles Schwab, but no round size given for r11.",eval_combined;eval_lean,2026-09-04T18:07:11.931921+05:30
qureight.com,Qureight,accept,United Kingdom,cambridge,43,1000000,11181013,2018,Digital health,Qureight is an end-to-end imaging CRO on a mission to accelerate clinical trials. We provide enterprise-grade imaging and precision endpoints for the biopharmaceutical industry. Our AI-powered data and imaging curation platform permits the analysis of clinical imaging and other healthcare data from ,"Company's own news announces $20M Series B led by Molten Ventures, matching size, location, headcount.",eval_judge-next-slice;eval_reprove-missing,2026-09-04T17:46:15.783425+05:30
scifin.ai,SciFin,accept,United States,San Francisco,45,,44000000,2024,Revenue software,"Enterprise software platform that unifies fragmented business context across accounts, deals, forecasts, representatives, and territories for revenue teams.","San Francisco operating company, 45 staff, seed round co-led by Altimeter/Madrona, $44M total, venture-backed.",eval_reprove-missing,2026-09-04T16:35:27.338703+05:30
telli.com,telli,accept,Germany,Berlin,23,,3599999,2024,Customer operations,AI phone calls that convert,"Berlin operating company, 23 employees, announced $15M seed backed by VCs and YC, matches all core criteria.",eval_baseline,2026-09-04T16:10:54.149088+05:30
triver.com,Triver,accept,United Kingdom,London,30,1000000,30000000,2023,Business finance,"Triver provides small businesses with instant capital in a click. Using Open Banking, accounting data and AI models, we are revolutionising how small businesses can access finance.​  Our API-first platform is designed to be embedded with the digital service providers of the real economy (accounting ","UK fintech, 30 staff, announced Series B close with lead investor and size, venture-backed private.",eval_judge-next-slice,2026-09-04T17:46:15.783425+05:30
understory.io,Understory,accept,Denmark,Aarhus,47,,12000000,2023,Experience payments,"Powering experience makers.  That’s what we do at Understory.  Our platform gives you all the tools you need to run an experience business. Bookings, payments, and marketing made simple, so hosts and experience creators can focus on creating unforgettable experiences.  We see ourselves as the ""under","Same Understory entity, Series A led by Smedvig Ventures, €12M raised, venture-backed and private.",eval_reprove-missing,2026-09-04T16:35:27.338703+05:30
vals.ai,Vals AI,accept,United States,San Francisco,15,,40000000,2024,AI evaluation,"Model benchmarks are seriously lacking. With Vals AI, we report how language models perform on the industry-specific tasks where they will be used.","US AI evaluation operating company, 15 employees, $40M Series A led by a16z announced.",eval_angles-4,2026-09-04T17:32:52.525147+05:30
velatir.com,Velatir,accept,Denmark,Odense,23,,1583800,2025,AI governance,"Enabling European businesses to lead, not just follow the AI revolution, with speed, resilience and integrity.   Europe is at a crossroads. To remain competitive on the global stage, our industries must adopt AI at scale, but they must do so responsibly.   At Velatir, we are the bridge between ""pote","Danish AI governance startup, 23 employees, announced €5M seed round, meets location, size and funding requirements.",eval_baseline,2026-09-04T16:10:54.149088+05:30
velocity.xyz,Velocity,accept,United Kingdom,London,30,,10000000,2025,Payments infrastructure,"Move and manage capital seamlessly across banks, blockchains, and borders.   Velocity is an enterprise-first platform that combines the programmability of stablecoins with the rigour of traditional finance — solving real-world challenges in cross-border settlement, liquidity, and treasury.","Velocity is London payments‑infra operating company, 30 employees, raised $38M Series A; private venture‑backed startup.",eval_baseline,2026-09-04T16:08:25.375272+05:30
yardstik.com,Yardstik,accept,United States,Minneapolis,53,19000000,24000000,2020,Workforce technology,"Trust used to be assumed. Now it has to be proven.  Yardstik is the creator of the Human Trust Platform—technology built for a world where AI-driven fraud, fake identities, and outdated background checks put people and businesses at risk.  Traditional screening was built for a slower era. One-time c",Yardstik is a Minneapolis workforce-tech startup with 53 employees and a closed $30M Series B led by Harbert Growth Partners.,eval_judge-x4,2026-09-04T17:12:19.931255+05:30
