domain,name,key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,sources,first_seen
itsolutions-inc.com,IT Solutions,accept,United States,Fort Washington,336,121900000,,1994,,"With 30 years of experience as a trusted managed services provider, we're your dedicated partner in navigating the complex world of technology, so you can focus on growing your business. Our customer-centric approach ensures your success, providing tailored support services that empower your busines",Large US MSP with 336 employees delivering comprehensive managed IT services with customer-centric focus.,eval_judge-x4,2026-09-04T16:55:03.405327+05:30
mybridgepoint.com,"BridgePoint Technologies, LLC",accept,United States,Lombard,20,17140870,,2004,,"BridgePoint Technologies, LLC, established in 2004 and headquartered in Lombard, Illinois, is a leading IT consulting firm dedicated to providing innovative and scalable technology solutions. We specialize in serving law firms, non-profits, and senior care facilities, helping them reduce costs, enha",BridgePoint is a 20‑employee US IT consulting/MSP firm serving external clients directly.,eval_lean,2026-09-04T18:44:17.851021+05:30
netopsconsulting.com,NetOps Consulting,accept,United States,Wooster,11,11725771,,2007,,"NetOps was founded from the ground up to provide managed services to businesses in many verticals.  Drawing upon its expertise in IT services and management, NetOps supports clients in the fulfillment of a wide range of discrete, mission critical projects and ongoing business requirements.","Managed services provider, 11 employees, US-based, technical expertise across verticals, owns client relationships.",eval_angles-4;eval_baseline;eval_combined;eval_reprove-missing,2026-09-04T17:21:12.625008+05:30
omegasystemscorp.com,Omega Systems,accept,United States,Reading,128,12000000,,2002,,"As a multi-award-winning MSP and MSSP, Omega Systems is passionate about delivering the security and compliance expertise today’s businesses need alongside the responsive and reliable managed IT support they deserve.  Omega’s service-driven IT solutions are designed to help customers leverage techno","Multi-award MSP/MSSP, 128 employees, Reading US, culture‑driven client service, not staffing focus.",eval_judge-x4,2026-09-04T16:53:35.05052+05:30
onwardtek.com,"Onward Technologies, Inc.",accept,United States,Northbrook,17,51405067,,1985,,"As a full-range Chicago-based IT service provider, Onward Technologies believes that IT problems should be the last thing on your mind. When we partner with clients, we assume the full responsibility of an in-house IT department. We provide proactive solutions, expert help, responsive service, and C",Onward Technologies is a 17-person US IT service provider acting as clients' IT department; no soft-preference evidence.,eval_combined;eval_judge-next-slice;eval_lean,2026-09-04T18:00:55.004956+05:30
saw.it,"Server At Work, LLC",accept,United States,Austin,12,,,2012,,"Server At Work is a SOC 2 audited IT MSP with offices in Austin, TX and Lake Charles, LA. We help SMBs grow their businesses through efficient IT operations while integrating compliance solutions to meet insurance, regulatory, and client requirements.  Our services range from complete IT management ",MSP with 12 US-based employees serving SMB IT clients; no evidence on staffing-firm distinction.,eval_baseline;eval_judge-next-slice;eval_lean;eval_reprove-missing,2026-09-04T16:00:31.252915+05:30
sharedit.com,Shared IT Inc,accept,United States,Bettendorf,18,20486188,,2000,,"Shared IT is a Managed IT Service Provider that has been serving clients locally and nationally for over twenty-five years. Shared IT provides world-class service with Midwest values. Clients in business, healthcare, manufacturing, education, government, and the non-profit sectors receive both on-si","MSP with 18 employees in US serving multiple industries; meets headcount, location; staffing preference not stated.",eval_combined2,2026-09-04T18:18:55.593421+05:30
strong-tech.com,Strong Technical Services,accept,United States,Omaha,53,,,1932,,"Strong Technical Services (STS) is a 24x7x365 remote monitoring company with two geographically dispersed state-of-the-art network operation centers (NOCs) and a nationwide field services team of over sixty service technicians. STS currently supports tens of thousands of customers across 16,000 site","MSP with NOCs, field techs, 53 employees, US-based, technical depth, owns customer relationships.",eval_angles-4,2026-09-04T17:21:12.625008+05:30
tks.la,"TurnKey Solutions, LLC",accept,United States,Baton Rouge,12,6879799,,1999,,"Founded in Baton Rouge in 1999, Turn Key Solutions began with a simple but powerful idea: businesses deserve IT partners who take responsibility, not ones who point fingers when things go wrong.  What started as conversations between friends and coworkers frustrated by unaccountable vendors quickly ","IT partner with 12 employees serving businesses in Baton Rouge, US; no relevant evidence for r4.",eval_combined2;eval_judge-x4,2026-09-04T18:19:32.429993+05:30
wheelhouseit.com,WheelHouse IT,accept,United States,Fort Lauderdale,46,9800000,,2002,,"WheelHouse IT secures, manages, and advances businesses with innovative, cost-effective IT solutions. We have worked with clients in nearly every vertical, enabling us to truly understand your business operations, not just your technology, and customize solutions for success.  As a Managed IT Servic","MSP with 46 employees serving many verticals in Florida, US; no soft-preference details found in record.",eval_angles-4,2026-09-04T17:20:41.085967+05:30
